lambda;EW;relDepth;ConvBS,
nm;0.1pm; ;m/s,
--------;----;-----;-------,
5664088;92;0.66;-283.9
5664510;49;0.43;-877.8
5673838;3;0.01;-751.2
5679260;6;0.07;-499
5679955;5;0.05;-463.7
5680177;4;0.03;-492.6
5680599;58;0.49;-382.6
5681816;10;0.1;-477.1
5687441;2;0.01;-1740.5
5688108;72;0.56;-327.9
5693076;38;0.37;-481.7
5697670;13;0.13;-475.8
5699601;14;0.14;-419.5
5703126;86;0.65;-225.4
5707048;37;0.35;-479.5
5707575;74;0.55;-198.4
5708831;4;0.04;-331.6
5709288;2;0.02;-344.4
5709678;37;0.33;-446
5710962;103;0.69;-182.2
5711516;12;0.1;-580.8
5713717;54;0.46;-451.6
5716684;73;0.53;-1191.1
5717055;4;0.03;-530.5
5719419;63;0.51;-461.3
5722486;14;0.14;-836.9
5723294;4;0.05;-362.3
